team,wins_lost
OKC,17.48
ORL,14.75
DAL,13.55
LAL,12.0
BOS,11.77
CHO,11.0
NOP,10.82
MEM,10.79
POR,10.15
PHI,10.08
MIL,9.54
CLE,9.12
LAC,8.4
SAS,8.18
HOU,7.42
IND,7.4
GSW,7.16
TOR,6.9
ATL,6.84
MIA,5.65
CHI,5.53
DET,5.33
DEN,5.15
PHO,4.76
UTA,4.0
SAC,3.85
MIN,3.54
NYK,2.76
BRK,2.74
WAS,-1.78
